,Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,MSR_Mean,MSR_Std,MSR,IntraTemporal_Homogeneity,InterTemporal_Homogeneity,#Rows_Mean,#Rows_Std,#Cols_Mean,#Cols_Std,#Ctxs_Mean,#Ctxs_Std
0,1,"{'alpha': 0.05, 'delta': 0.05}",30.688051223754886,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
1,2,"{'alpha': 0.05, 'delta': 0.1}",31.459415912628174,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
2,3,"{'alpha': 0.05, 'delta': 0.5}",30.892817974090576,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
3,4,"{'alpha': 0.05, 'delta': 1}",31.21953511238098,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
4,5,"{'alpha': 0.05, 'delta': 1.5}",31.15943670272827,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
5,6,"{'alpha': 0.05, 'delta': 2}",30.675233364105225,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
6,7,"{'alpha': 0.1, 'delta': 0.05}",31.49358344078064,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
7,8,"{'alpha': 0.1, 'delta': 0.1}",31.347506999969482,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
8,9,"{'alpha': 0.1, 'delta': 0.5}",30.708951711654663,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
9,10,"{'alpha': 0.1, 'delta': 1}",31.148154735565186,20,0.0,0.0,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}",0.2345,0.12031105518612993,"{1: 0.04, 2: 0.21, 3: 0.2, 4: 0.1, 5: 0.25, 6: 0.43, 7: 0.19, 8: 0.31, 9: 0.2, 10: 0.2, 11: 0.21, 12: 0.17, 13: 0.23, 14: 0.18, 15: 0.31, 16: 0.17, 17: 0.63, 18: 0.16, 19: 0.29, 20: 0.21}","{1: 0.405, 2: 0.197, 3: 0.225, 4: 0.296, 5: 0.244, 6: 0.385, 7: 0.405, 8: 0.113, 9: 0.324, 10: 0.407, 11: 0.187, 12: 0.19, 13: 0.115, 14: 0.295, 15: 0.341, 16: 0.361, 17: 0.398, 18: 0.696, 19: 0.359, 20: 0.591}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0}",61.3,1.4,4.0,0.0,2.0,0.0
